列车,起始站,到起始站时间,发车时间,到达站,出到达站时间,到达时间
G1001,上海南,07:59:57,08:00:00,花桥,08:00:13,08:00:10
G1002,上海南,08:00:37,08:00:40,松江站,08:00:50,08:00:50
G1002,松江站,08:00:50,08:00:53,花桥,08:01:06,08:01:03
G1003,上海南,08:01:17,08:01:20,花桥,08:01:33,08:01:30
G1004,上海南,08:01:57,08:02:00,松江站,08:02:10,08:02:10
G1004,松江站,08:02:10,08:02:13,花桥,08:02:26,08:02:23
G1005,上海南,08:02:37,08:02:40,花桥,08:02:53,08:02:50
G1006,上海南,08:03:17,08:03:20,松江站,08:03:30,08:03:30
G1006,松江站,08:03:30,08:03:33,花桥,08:03:46,08:03:43
G1007,上海南,08:03:57,08:04:00,花桥,08:04:13,08:04:10
G1008,上海南,08:04:37,08:04:40,松江站,08:04:50,08:04:50
G1008,松江站,08:04:50,08:04:53,花桥,08:05:06,08:05:03
G1009,上海南,08:05:17,08:05:20,花桥,08:05:33,08:05:30
G1010,上海南,08:05:57,08:06:00,松江站,08:06:10,08:06:10
G1010,松江站,08:06:10,08:06:13,花桥,08:06:26,08:06:23
G1011,上海南,08:06:37,08:06:40,花桥,08:06:53,08:06:50
G1012,上海南,08:07:17,08:07:20,松江站,08:07:30,08:07:30
G1012,松江站,08:07:30,08:07:33,花桥,08:07:46,08:07:43
G1013,上海南,08:07:57,08:08:00,花桥,08:08:13,08:08:10
G1014,上海南,08:08:37,08:08:40,松江站,08:08:50,08:08:50
G1014,松江站,08:08:50,08:08:53,花桥,08:09:06,08:09:03
G1015,上海南,08:09:17,08:09:20,花桥,08:09:33,08:09:30
G1016,上海南,08:09:57,08:10:00,松江站,08:10:10,08:10:10
G1016,松江站,08:10:10,08:10:13,花桥,08:10:26,08:10:23
G1017,上海南,08:10:37,08:10:40,花桥,08:10:53,08:10:50
G1018,上海南,08:11:17,08:11:20,松江站,08:11:30,08:11:30
G1018,松江站,08:11:30,08:11:33,花桥,08:11:46,08:11:43
G1019,上海南,08:11:57,08:12:00,花桥,08:12:13,08:12:10
G1020,上海南,08:12:37,08:12:40,松江站,08:12:50,08:12:50
G1020,松江站,08:12:50,08:12:53,花桥,08:13:06,08:13:03
G1021,上海南,08:13:17,08:13:20,花桥,08:13:33,08:13:30
G1022,上海南,08:13:57,08:14:00,松江站,08:14:10,08:14:10
G1022,松江站,08:14:10,08:14:13,花桥,08:14:26,08:14:23
G1023,上海南,08:14:37,08:14:40,花桥,08:14:53,08:14:50
